title,price,href,address,year,content,area 
"2-комнатная квартира, Майлина, 117",15500000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3087291/,"['Майлина', '117']",1979,"кирпичный. Удобно под коммерцию, не угловая, комнаты изолированы, встроенная кухня, кладовка, тихий двор.  Транспортная доступность, рядом детские садики, школа, магазины, базары,...",40
"2-комнатная квартира, Коктем-1 мкр-н, 13",26500000,/obyavleniya/prodazha-kvartiry-43m-v-almaty-3087292/,"['Коктем-1 мкр-н', '13']",1970,"панельный. Счётчики, тихий двор.  Квартира угловая, но тёплая. Светлая, окна на юг и юго-запад. Тихий двор, хорошие соседи. Отремонтированный двор с большой парковкой и детской...",43
"1-комнатная квартира, Аксай-1 мкр-н, 11",23500000,/obyavleniya/prodazha-kvartiry-45.1m-v-almaty-3087290/,"['Аксай-1 мкр-н', '11']",2018,"ЖК Адиет, монолитный. Пластиковые окна, не угловая, улучшенная, комнаты изолированы, встроенная кухня, счётчики, тихий двор.  Отличное место расположение, развитая инфраструктура,...",45.1
"1-комнатная квартира, Толе би, 278",20500000,/obyavleniya/prodazha-kvartiry-34m-v-almaty-3087289/,"['Толе би', '278']",2001,"монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",34
"1-комнатная квартира, Аксай-1а мкр-н, 28",16000000,/obyavleniya/prodazha-kvartiry-30m-v-almaty-3087287/,"['Аксай-1а мкр-н', '28']",2007,"монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",30
"1-комнатная квартира, Аксай-4 мкр-н, 16",21500000,/obyavleniya/prodazha-kvartiry-39.8m-v-almaty-3087285/,"['Аксай-4 мкр-н', '16']",2010,"монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",39.8
"1-комнатная квартира, Рыскулова, 35",20500000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3087283/,"['Рыскулова', '35']",1983,"кирпичный. Тихий двор, не угловая, комнаты изолированы, кладовка, счётчики, пластиковые окна, новая сантехника.  Продам просторную однокомнатную квартиру со свежим ремонтом: кафель...",40
"2-комнатная квартира, Кенесары Хана, 83",30500000,/obyavleniya/prodazha-kvartiry-45m-v-almaty-3087282/,"['Кенесары Хана', '83']",2013,"ЖК Аскар Тау, монолитный. Пластиковые окна, кухня-студия, встроенная кухня, новая сантехника, счётчики, тихий двор, кондиционер.  Свежий ремонт, новая мебель. Вся техника и мебель...",45
"2-комнатная квартира, Сайран мкр-н, 6",26000000,/obyavleniya/prodazha-kvartiry-42.4m-v-almaty-3087278/,"['Сайран мкр-н', '6']",1981,"панельный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",42.4
"2-комнатная квартира, Муканова, 245",44500000,/obyavleniya/prodazha-kvartiry-73m-v-almaty-3087277/,"['Муканова', '245']",1988,"кирпичный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, наземный паркинг, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",73
"3-комнатная квартира, Егизбаева, 7",49500000,/obyavleniya/prodazha-kvartiry-79m-v-almaty-3087274/,"['Егизбаева', '7']",2019,"ЖК Асыл Тау, монолитный. Улучшенная, комнаты изолированы, пластиковые окна, встроенная кухня, тихий двор.      Доп. описание: санузел раздельный, пластиковые окна, в доме есть:...",79
"3-комнатная квартира, Тулебаева, 21",33500000,/obyavleniya/prodazha-kvartiry-58.2m-v-almaty-3087275/,"['Тулебаева', '21']",1976,"панельный. Квартира расположена в золотом квадрате. Рядом Арбат, ГУМ, Магнум, small, зелёный базар, магазины, салоны красоты, в самом доме есть маникюрный салон. Тихий, уютный...",58.2
"1-комнатная квартира, Орбита-2 мкр-н, 10",25000000,/obyavleniya/prodazha-kvartiry-32.2m-v-almaty-3087272/,"['Орбита-2 мкр-н', '10']",1981,"панельный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, лифт пассажирский, лифт грузовой, косметический ремонт, также имеются: телефон,...",32.2
"2-комнатная квартира, Сатпаева, 90",48500000,/obyavleniya/prodazha-kvartiry-56.3m-v-almaty-3087273/,"['Сатпаева', '90']",2017,"ЖК Симфония, монолитный. Продается 2-комнатная квартира с отличным видом на горы, речку и озеро Сайран в жилом комплексе Симфония.    - Свежий ремонт сделанный для себя;  -...",56.3
"1-комнатная квартира, Райымбека, 82",22000000,/obyavleniya/prodazha-kvartiry-32.2m-v-almaty-3087271/,"['Райымбека', '82']",1967,"панельный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",32.2
"1-комнатная квартира, Айнабулак-4 мкр-н, 178",20500000,/obyavleniya/prodazha-kvartiry-42m-v-almaty-3087269/,"['Айнабулак-4 мкр-н', '178']",1988,"кирпичный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",42
"2-комнатная квартира, Айнабулак-3 мкр-н, 96",25000000,/obyavleniya/prodazha-kvartiry-42m-v-almaty-3087268/,"['Айнабулак-3 мкр-н', '96']",1985,"панельный. Продаётся 2-комнатная квартира. Срочно. Айнабулак 3.  Пластиковые окна, не угловая, не боковая, встроенная кухня, новая сантехника, счётчики, тихий двор.    Расположение...",42
"3-комнатная квартира, Курмангазы, 145 - Муканова",82000000,/obyavleniya/prodazha-kvartiry-127m-v-almaty-3086987/,"['Курмангазы', '145\xa0- Муканова']",2006,"ЖК Жастар, монолитный. Застекленный балкон, 2 балкона, кондиционер, с мебелью, встроенная кухня, с техникой, закрытый двор, не угловая.  ID_1116. Сквер возле театра им. М.Ауэзова,...",127
"3-комнатная квартира, Аксай-4 мкр-н, 26",33000000,/obyavleniya/prodazha-kvartiry-70m-v-almaty-3086965/,"['Аксай-4 мкр-н', '26']",1990,"панельный. Пластиковые окна, улучшенная, комнаты изолированы, счетчики, тихи двор.   3-комнатная квартира улучшенной планировки, комнаты изолированы, санузел раздельный, кухня...",70
"2-комнатная квартира, Масанчи, 23",43700000,/obyavleniya/prodazha-kvartiry-87m-v-almaty-3086859/,"['Масанчи', '23']",2016,"ЖК Евразия, монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для...",87
title,price,href,address,year,content,area
"1-комнатная квартира, Сатпаева, 76",25500000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3086860/,"['Сатпаева', '76']",1984,"панельный. Пластиковые окна, удобно под коммерцию, улучшенная.  Требуются ремонт, в хорошем районе, транспортная развязка во все стороны, метро рядом. школы, детские сады,...",40
"2-комнатная квартира, Орбита-3 мкр-н, 52",31000000,/obyavleniya/prodazha-kvartiry-50m-v-almaty-3086857/,"['Орбита-3 мкр-н', '52']",1979,"кирпичный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",50
"2-комнатная квартира, Казыбек би, 139",32400000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3086856/,"['Казыбек би', '139']",2017,"ЖК Бастау, монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для...",40
"3-комнатная квартира, Таугуль-2 мкр-н, 37",50500000,/obyavleniya/prodazha-kvartiry-100m-v-almaty-3086853/,"['Таугуль-2 мкр-н', '37']",2008,"монолитный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, лифт пассажирский, лифт грузовой, косметический ремонт, также имеются: телефон,...",100
"3-комнатная квартира, 10а мкр-н, 3",28500000,/obyavleniya/prodazha-kvartiry-58m-v-almaty-3086854/,"['10а мкр-н', '3']",1968,"панельный. Продам квартиру, со свежим ремонтом, все удобства. Оставлю все как есть с мебелью. Можно просто зайти и жить, #6872689   Доп. описание: санузел раздельный, пластиковые...",58
"2-комнатная квартира, Абая, 54",30500000,/obyavleniya/prodazha-kvartiry-44.7m-v-almaty-3086851/,"['Абая', '54']",1987,"кирпичный. Не угловая, кухня-студия, встроенная кухня, новая сантехника, кондиционер.  Продам квартиру в центре города, после ремонта. Перепланировка узаконена.  Так как дом...",44.7
"3-комнатная квартира, 20-я линия, 48",30450000,/obyavleniya/prodazha-kvartiry-56m-v-almaty-3086852/,"['20-я линия', '48']",1975,"панельный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное телевидение, счетчики...",56
"3-комнатная квартира, Жарокова, 284",68600000,/obyavleniya/prodazha-kvartiry-93m-v-almaty-3086849/,"['Жарокова', '284']",2014,"ЖК Родник, монолитный. Квартира продается полностью со всей мебелью и техникой! Как на фото!    Продажа в связи с переездом в другой город!    дом расположен в отдаленном, очень...",93
"2-комнатная квартира, Алгабас-1 мкр-н, 49",28500000,/obyavleniya/prodazha-kvartiry-68.8m-v-almaty-3086850/,"['Алгабас-1 мкр-н', '49']",2015,"монолитный. Пластиковые окна, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, счётчики, тихий двор, кондиционер.  Успейте купить по выгодное цене!  Продам...",68.8
"3-комнатная квартира, Райымбека, 101",30000000,/obyavleniya/prodazha-kvartiry-58m-v-almaty-3086847/,"['Райымбека', '101']",1968,"панельный. Санузел совмещенный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",58
"3-комнатная квартира, Вахтангова, 21",39500000,/obyavleniya/prodazha-kvartiry-68.2m-v-almaty-3086846/,"['Вахтангова', '21']",1989,"панельный. В продаже 3-комнатная квартира, в шикарном Районе города Алматы. Большая кухня, пластиковые окна, имеется 2 балкона  Санузел раздельный, пластиковые окна, в доме есть:...",68.2
"1-комнатная квартира, Тастак-2 мкр-н, 21",22500000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3086844/,"['Тастак-2 мкр-н', '21']",1986,"панельный. Пластиковые окна, неугловая, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, кладовка, счётчики, тихий двор.   Доп. описание: санузел совмещенный,...",40
"2-комнатная квартира, Байзакова, 298",36000000,/obyavleniya/prodazha-kvartiry-51.8m-v-almaty-3086842/,"['Байзакова', '298']",1976,"кирпичный. Продаётся улучшенная двухкомнатная квартира в одном из самых востребованных районах города! Кирпичный дом 1976 года постройки, строился для работников КГБ. Квартира...",51.8
"1-комнатная квартира, Аксай-2 мкр-н, 69",19500000,/obyavleniya/prodazha-kvartiry-33m-v-almaty-3086843/,"['Аксай-2 мкр-н', '69']",1988,панельный. Уважаемые гости южной столицы и жители города Алматы! Представляю вашему вниманию 1-но комнатную квартиру в благоприятном районе города. Отличный вариант для комфортного...,33
"1-комнатная квартира, Гоголя, 42",28500000,/obyavleniya/prodazha-kvartiry-34m-v-almaty-3086841/,"['Гоголя', '42']",1978,"кирпичный. Уютная квартира, в золотом квадрате, с видом на парк 28 панфиловцев.  Квартира не угловая, теплая, крышу делали 2 года назад. Потеков нету. Санузел раздельный,...",34
"3-комнатная квартира, Байзакова, 298",39500000,/obyavleniya/prodazha-kvartiry-70.2m-v-almaty-3086839/,"['Байзакова', '298']",1986,кирпичный. Представляем Вашему вниманию трёх комнатную квартиру в Бостандыкском районе.     Квартира улучшенной планировки в мкр. Коктем-3 по ул. Байзакова. Кухня 9 квадратных...,70.2
"4-комнатная квартира, Жетысу-2 мкр-н, 35",49500000,/obyavleniya/prodazha-kvartiry-96m-v-almaty-3086840/,"['Жетысу-2 мкр-н', '35']",1991,"панельный. Пластиковые окна, не угловая, улучшенная, комнаты изолированы, встроенная кухня, кладовка, счётчики, тихий двор, кондиционер.  Продается отличная квартира с лучшей...",96
"3-комнатная квартира, Жарокова, 91",48000000,/obyavleniya/prodazha-kvartiry-85m-v-almaty-3086838/,"['Жарокова', '91']",1985,"кирпичный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",85
"3-комнатная квартира, Сейфуллина, 574",119500000,/obyavleniya/prodazha-kvartiry-103.5m-v-almaty-3086836/,"['Сейфуллина', '574']",2021,"ЖК Central Avenue, монолитный. Кондиционер, пластиковые окна, неугловая, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, тихий двор.  Самый современный,...",103.5
"3-комнатная квартира, 6 мкр-н, 39",25500000,/obyavleniya/prodazha-kvartiry-60m-v-almaty-3086837/,"['6 мкр-н', '39']",1965,"панельный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",60
"3-комнатная квартира, Брусиловского, 159",40400000,/obyavleniya/prodazha-kvartiry-74m-v-almaty-3086834/,"['Брусиловского', '159']",2010,"ЖК Алтын Булак 1, монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места...",74
"3-комнатная квартира, 10а мкр-н, 7",24500000,/obyavleniya/prodazha-kvartiry-60m-v-almaty-3086835/,"['10а мкр-н', '7']",1968,"панельный. Пластиковые окна, комнаты изолированы, кладовка, счётчики.  Продам 3-х комнатную квартиру в Ауэзовском районе в 10 А микрорайоне (по ул. Шаляпина, не доезжая ул. Саина)....",60
"1-комнатная квартира, Нуркент, 50 - Момышулы",22000000,/obyavleniya/prodazha-kvartiry-39m-v-almaty-3086713/,"['Нуркент', '50\xa0- Момышулы']",2013,"монолитный. Услуги агентства оплачивает продавец квартиры. С покупателей комиссию не берём.     «Райский уголок» в одном из престижных районов города не миф, а реальность.      1-...",39
"3-комнатная квартира, Жамбыла",51000000,/obyavleniya/prodazha-kvartiry-81m-v-almaty-3086681/,['Жамбыла'],1966,"кирпичный. Предлагаем трёхкомнатную квартиру в самом сердце Золотого Квадрата-исторический и культурный центр Алматы.  Проживая в Золотом квадрате, вы получите массу удовольствия....",81
"1-комнатная квартира, Кокжиек мкр-н, 10",16500000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3086653/,"['Кокжиек мкр-н', '10']",2010,"монолитный. Пластиковые окна, не угловая, улучшенная, комнаты изолированы, счётчики, тихий двор.  Срочно продам квартиру, состояние среднее, требуется ремонт. без долгов, документы...",40
title,price,href,address,year,content,area
"1-комнатная квартира, Айманова, 202",23500000,/obyavleniya/prodazha-kvartiry-31m-v-almaty-3086652/,"['Айманова', '202']",1962,"кирпичный. Пластиковые окна, неугловая, встроенная кухня, новая сантехника, счётчики, тихий двор.  Квартира после ремонта, продается со всей мебелью, техникой (газовая поверхность...",31
"3-комнатная квартира, Брусиловского, 163",46500000,/obyavleniya/prodazha-kvartiry-92m-v-almaty-3086650/,"['Брусиловского', '163']",2011,"ЖК Мега Сайран (Манхеттен), монолитный. Представляю вашему вниманию 2-комнатную квартиру в благоприятном районе города. Отличный вариант для комфортного проживания. Чистый подъезд,...",92
"1-комнатная квартира, Таугуль-1 мкр-н, 68",24000000,/obyavleniya/prodazha-kvartiry-40.1m-v-almaty-3086648/,"['Таугуль-1 мкр-н', '68']",1989,"панельный. Развитая инфраструктура, транспортная развязка, рядом очень много бизнес центров, пластиковые окна, не угловая, улучшенная, комнаты изолированы, счётчики, тихий двор. с...",40.1
"1-комнатная квартира, Абая, 58",24000000,/obyavleniya/prodazha-kvartiry-33m-v-almaty-3086646/,"['Абая', '58']",1969,"кирпичный. Кондиционер, пластиковые окна, не угловая, встроенная кухня, счётчики.  Кирпичный дом. квартира тёплая, не угловая. Свежий косметический ремонт. Квартира полностью...",33
"2-комнатная квартира, Муканова, 245",50500000,/obyavleniya/prodazha-kvartiry-76m-v-almaty-3086643/,"['Муканова', '245']",1988,"кирпичный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, наземный паркинг, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",76
"3-комнатная квартира, Кекилбайулы, 264",70500000,/obyavleniya/prodazha-kvartiry-100m-v-almaty-3086644/,"['Кекилбайулы', '264']",2014,"ЖК Megatower Almaty, монолитный. Продается квартира по очень привлекательной цене. Хорошая и развитая инфраструктура. Район отличный. Рядом есть школа, удобная транспортная...",100
"1-комнатная квартира, 20-я линия, 44",29930000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3086642/,"['20-я линия', '44']",1990,панельный. Уважаемые гости южной столицы и жители города Алматы! Представляю вашему вниманию 2-комнатную квартиру в благоприятном районе города. Отличный вариант для комфортного...,40
"3-комнатная квартира, Кенесары Хана, 54",43500000,/obyavleniya/prodazha-kvartiry-65m-v-almaty-3086640/,"['Кенесары Хана', '54']",2009,"монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",65
"3-комнатная квартира, Жетысу-2 мкр-н, 57",36500000,/obyavleniya/prodazha-kvartiry-72m-v-almaty-3086641/,"['Жетысу-2 мкр-н', '57']",1996,"панельный. Угловая, но утепленная квартира.  Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, лифт пассажирский, лифт грузовой, косметический...",72
"3-комнатная квартира, Макатаева, 53",44500000,/obyavleniya/prodazha-kvartiry-76m-v-almaty-3086639/,"['Макатаева', '53']",1978,"панельный. В продаже теплая угловая квартира, с северной стороны утеплили угол. Кондиционер, новая сантехника, тихий двор, пластиковые окна, встроенная кухня, комнаты изолированы,...",76
"3-комнатная квартира, Кенесары Хана, 54",55555000,/obyavleniya/prodazha-kvartiry-85.1m-v-almaty-3086638/,"['Кенесары Хана', '54']",2011,"ЖК Хан Тенгри, монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для...",85.1
"2-комнатная квартира, Толе би, 286",40500000,/obyavleniya/prodazha-kvartiry-67m-v-almaty-3086635/,"['Толе би', '286']",2012,"ЖК Каусар, монолитный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, наземный паркинг, лифт пассажирский, косметический ремонт, также имеются: телефон,...",67
"1-комнатная квартира, Наурызбай батыра, 26",22500000,/obyavleniya/prodazha-kvartiry-32m-v-almaty-3086634/,"['Наурызбай батыра', '26']",1970,"панельный. Окно во двор. Удобная парковка, во дворе. Вариант для сдачи в аренду, удобное месторосположения. Рядом Арбат, ЦУМ, Mega park, парк Макатаева, аэровокзал. Не угловая....",32
"1-комнатная квартира, Жетысу-4 мкр-н, 4",25000000,/obyavleniya/prodazha-kvartiry-33m-v-almaty-3086632/,"['Жетысу-4 мкр-н', '4']",1991,"кирпичный. Пластиковые окна, тихий двор. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта, косметический ремонт, также имеются:...",33
"1-комнатная квартира, Солодовникова, 23",30500000,/obyavleniya/prodazha-kvartiry-50m-v-almaty-3086628/,"['Солодовникова', '23']",2007,"монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",50
"3-комнатная квартира, Брусиловского, 167",65990000,/obyavleniya/prodazha-kvartiry-140m-v-almaty-3086626/,"['Брусиловского', '167']",2012,"ЖК Алтын Булак 2, монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места...",140
"3-комнатная квартира, Курмангазы - Шевченко",87000000,/obyavleniya/prodazha-kvartiry-133m-v-almaty-3086442/,['Курмангазы\xa0- Шевченко'],2018,"ЖК Центральный, монолитный. Пластиковые окна, не угловая, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, счётчики, тихий двор, кондиционер.  Предлагаем вашему...",133
"1-комнатная квартира, Жунисова, 17",13500000,/obyavleniya/prodazha-kvartiry-28.34m-v-almaty-3086431/,"['Жунисова', '17']",2021,"ЖК Alma City, монолитный. Продам квартиру-студию. Окна на восток. Развитая инфраструктура, несколько школ, садов, автобусы на все направления. Черновая отделка, не угловая. За...",28.34
"4-комнатная квартира, Аксай-1 мкр-н - Райымбека",69000000,/obyavleniya/prodazha-kvartiry-138m-v-almaty-3086405/,['Аксай-1 мкр-н\xa0- Райымбека'],2017,"ЖК Адиет, монолитный. Изолированные комнаты, перепланировка, не угловая, солнечная сторона, ремонт, 2 балкона, застекленный балкон, пластиковые окна, кондиционер, с мебелью,...",138
"3-комнатная квартира, Райымбека, 241",32000000,/obyavleniya/prodazha-kvartiry-98.7m-v-almaty-3086385/,"['Райымбека', '241']",2007,"монолитный. Пластиковые окна, не угловая, улучшенная, комнаты изолированы, счётчики, тихий двор.  Продам квартиру в удобном районе всё близко 2 школы, детский сад, рынок, торговый...",98.7
"2-комнатная квартира, Жуалы, 3",30500000,/obyavleniya/prodazha-kvartiry-88m-v-almaty-3086382/,"['Жуалы', '3']",2012,"ЖК Премьера, монолитный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, лифт пассажирский, лифт грузовой, косметический ремонт, также...",88
"1-комнатная квартира, Сатпаева, 76",24000000,/obyavleniya/prodazha-kvartiry-31m-v-almaty-3086380/,"['Сатпаева', '76']",1986,"панельный. Встроенная кухня, счётчики.  Продается светлая, просторная квартира. Ламинат, деревянные двери, большая встроенная кухня. Рядом детский сад, школа, магазины. торг...",31
"2-комнатная квартира, Жуалы, 5",35000000,/obyavleniya/prodazha-kvartiry-99.7m-v-almaty-3086379/,"['Жуалы', '5']",2015,"ЖК Премьера, монолитный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, лифт пассажирский, лифт грузовой, косметический ремонт, также...",99.7
"2-комнатная квартира, Аль-Фараби, 21",77500000,/obyavleniya/prodazha-kvartiry-77m-v-almaty-3086378/,"['Аль-Фараби', '21']",2014,"ЖК AFD Plaza, монолитный. Продаётся уютная светлая квартира в жилом комплексе AFD PLAZA! Полностью с мебелью и техникой!     Доп. описание: санузел раздельный, пластиковые окна, в...",77
"1-комнатная квартира, Таугуль мкр-н, 19",24000000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3086375/,"['Таугуль мкр-н', '19']",2006,"монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для занятия спортом...",40
title,price,href,address,year,content,area
"3-комнатная квартира, Досмухамедова, 71",36500000,/obyavleniya/prodazha-kvartiry-56m-v-almaty-3086376/,"['Досмухамедова', '71']",1977,"панельный. Центр города. Дом находится внутри, поэтому нет шума и пыли с улицы. Во дворе большая детская площадка, баскетбольной поле. Квартира светлая, тёплая. Кухня отдельная,...",56
"4-комнатная квартира, Брусиловского, 144",80000000,/obyavleniya/prodazha-kvartiry-144m-v-almaty-3086373/,"['Брусиловского', '144']",2011,"ЖК Мега Сайран (Манхеттен), монолитный. Тихий двор, улучшенная, кондиционер, пластиковые окна, кладовка.  Продаётся хорошая, просторная 4-комнатная квартира в ЖК Манхеттен, удобное...",144
"2-комнатная квартира, Брусиловского, 159",39000000,/obyavleniya/prodazha-kvartiry-78m-v-almaty-3086374/,"['Брусиловского', '159']",2011,"ЖК Алтын Булак 1, монолитный. Кондиционер, пластиковые окна, улучшенная, кухня-студия, встроенная кухня, новая сантехника, тихий двор.  Светлая квартира, с хорошим ремонтом.    ...",78
"2-комнатная квартира, Райымбека, 241",32000000,/obyavleniya/prodazha-kvartiry-69.4m-v-almaty-3086370/,"['Райымбека', '241']",2007,"монолитный. Продается квартира по очень привлекательной цене. Хорошая и развитая инфраструктура. Район отличный. Рядом есть школа, удобная транспортная развязка. Все в шаговой...",69.4
"1-комнатная квартира, Радостовца, 47",22900000,/obyavleniya/prodazha-kvartiry-31m-v-almaty-3086367/,"['Радостовца', '47']",1977,"панельный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта, косметический ремонт, также имеются: телефон, интернет, кабельное...",31
"1-комнатная квартира, Жарокова, 217",10800000,/obyavleniya/prodazha-kvartiry-20m-v-almaty-3086368/,"['Жарокова', '217']",1984,"панельный. Продается хорошая квартира в приватизированном общежитие. Квартира Не Угловая, тихий двор.  Комната в бывшей малосемейке. В данный момент отдельная маленькая квартирка,...",20
"2-комнатная квартира, Сайран мкр-н, 3",25500000,/obyavleniya/prodazha-kvartiry-43m-v-almaty-3086365/,"['Сайран мкр-н', '3']",1969,"панельный. Кондиционер, пластиковые окна, не угловая, комнаты изолированы, встроенная кухня, новая сантехника, счётчики, тихий двор.  Продам квартиру в отличном состоянии, не...",43
"3-комнатная квартира, Саина, 6",31000000,/obyavleniya/prodazha-kvartiry-62m-v-almaty-3086366/,"['Саина', '6']",1974,"панельный. Пластиковые окна, не угловая, комнаты изолированы, встроенная кухня, кладовка, счётчики, тихий двор.  Квартира после хорошего качественного ремонта, не распашонка,...",62
"1-комнатная квартира, Кенесары Хана, 54",26500000,/obyavleniya/prodazha-kvartiry-48.4m-v-almaty-3086361/,"['Кенесары Хана', '54']",2011,"ЖК Хан Тенгри, монолитный. Представляем Вашему вниманию уютную квартиру в тихом и комфортном для проживания районе. Вблизи дома есть детские площадки, футбольные поля и места для...",48.4
"1-комнатная квартира, Аксай-1а мкр-н, 8",18000000,/obyavleniya/prodazha-kvartiry-30m-v-almaty-3086362/,"['Аксай-1а мкр-н', '8']",2000,"монолитный. Санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, лифт пассажирский, лифт грузовой, косметический ремонт, также имеются: телефон,...",30
"2-комнатная квартира, Клочкова, 168",26500000,/obyavleniya/prodazha-kvartiry-45m-v-almaty-3086358/,"['Клочкова', '168']",1972,"панельный. Продается уютная квартира в престижном районе! Рядом Атакент, Ботанический сад, КАЗГУ, Центральная аптека. Развитая инфраструктура, рядом банки, школы, детские сады....",45
"2-комнатная квартира, Желтоксан, 166",40000000,/obyavleniya/prodazha-kvartiry-55m-v-almaty-3086359/,"['Желтоксан', '166']",1984,"кирпичный. Квартира в центре города, развитая инфраструктура.     Доп. описание: санузел раздельный, пластиковые окна, в доме есть: открытый двор, парковка отсутствует, без лифта,...",55
"1-комнатная квартира, Жетысу-1 мкр-н, 37",25500000,/obyavleniya/prodazha-kvartiry-43m-v-almaty-3086356/,"['Жетысу-1 мкр-н', '37']",1990,"панельный. Пластиковые окна, не угловая, улучшенная, встроенная кухня, новая сантехника, кладовка, счётчики, тихий двор, удобно под коммерцию.     Доп. описание: санузел...",43
"2-комнатная квартира, Коктем-2 мкр-н, 54",30500000,/obyavleniya/prodazha-kvartiry-40m-v-almaty-3086357/,"['Коктем-2 мкр-н', '54']",1962,"кирпичный. Пластиковые окна, улучшенная, счётчики, тихий двор, кондиционер, удобно под коммерцию.  Полностью меблирована под офис.    Доп. описание: санузел раздельный, пластиковые...",40
"1-комнатная квартира, Джандосова, 184",25500000,/obyavleniya/prodazha-kvartiry-52.2m-v-almaty-3086354/,"['Джандосова', '184']",2015,"монолитный. Пластиковые окна, новая сантехника, счётчики, тихий двор.  Квартира 52 кв.м, 1-комнатная квартира,  свежий ремонт, тихий двор, хорошие соседи. Зимой тёплая, а летом...",52.2
"2-комнатная квартира, Байтурсынова, 78",42000000,/obyavleniya/prodazha-kvartiry-51.5m-v-almaty-3086355/,"['Байтурсынова', '78']",1987,"кирпичный. Кондиционер, пластиковые окна, не угловая, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, счётчики, тихий двор.  Квартира продаётся с мебелью и...",51.5
